GROUP,TYPE (YEAR),Proposal
"iHeart (international Health, Education, Advocacy, Research, and Training)",SISG (2),$0.00
InnoWorks,SISG (2),$600.00
Inside the Living Room,SISG (7),$400.00
La Clinica Student Alliance,SISG (2),$600.00
"La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc.",SISG (4),$800.00
Labor Coach Program,SISG (6),$800.00
"Lambda Theta Alpha Latin Sorority, Inc.",SISG (10),"$1,900.00"
"Lambda Theta Phi Latin Fraternity, Inc.",SISG (10),"$2,600.00"
Laotian American Student Representatives,SISG (18),"$1,850.00"
Learning Enterprises at Berkeley,SISG (2),$500.00
Let's Rise - Asian Mentorship Program,SISG (11),"$1,200.00"
lu-Mien Student Union,SISG (10),"$1,800.00"
Malaysian Student Association,SISG (1),$500.00
MEDLIFE,SISG (6),$450.00
Mend a Life at Berkeley,SISG (1),$170.00
Mental Health Coalition,SISG (2),$500.00
Mindfulness at Berkeley,SISG (0),$0.00
Movimiento Estudiantil Chicano/xicana de Atzlan,SISG (5),$800.00
Multi-Cultural Greek Council,SISG (3),$600.00
NAMI on Campus at Berkeley,SISG (0),$0.00
National Council of Negro Women,SISG (10),"$2,100.00"
Native American Recruitment and Retention Center,SISG (24),"$10,600.00"
Oakland Asian Student Educational Services,SISG (14),"$1,000.00"
"Omega Phi Beta Sorority, Inc.",SISG (6) ,$600.00
One Health Student Initiative,SISG (0),$0.00
Partners in Health Engage at Berkeley,SISG (2),$600.00
Patient Advocacy Student Group,SISG (4),"$1,000.00"
Paws and Claws of Berkeley,SISG (5),$300.00
People's Test Preparation Services,SISG (20),"$2,650.00"
"Phi Beta Sigma Fraternity, Inc.",SISG (1),$500.00
Pilipino Academic Student Services - PASS,SISG (32),"$30,600.00"
Project Peanut Butter,SISG (3),$600.00
Project Pueblo at Berkeley,SISG (0),$200.00
"Project Rishi, The Berkeley Chapter",SISG (9),"$1,200.00"
Project SMILE - Spreading Multiculturalism and Inspiring Leadership through Education,SISG (8),"$3,000.00"
Project Vision,SISG (10),$800.00
Queer Alliance & Resource Center,SISG (49),"$16,600.00"
Queer Straight Alliance,SISG (9),$300.00
RAZA Recruitment and Retention Center,SISG (39),"$50,800.00"
REACH! Asian/Pacific Islander Recruitment and Retention Center,SISG (21),"$19,300.00"
Re-entry and Transfer Student Association,SISG (19),"$2,800.00"
Renters' Legal Assistance,SISG (34),$975.00
ReUSE,SISG (0),$0.00
Rotaract,SISG (12),"$1,600.00"
Save a Refugee,SISG (2),$485.00
Sigma Pi Alpha (ELLAs),SISG (8),$700.00
Southeast Asian Mentorship,SISG (10),$750.00
Southeast Asian Prison Outreach Project,SISG (6),$700.00
Southeast Asian Student Coalition,SISG (16),"$8,300.00"
Spring Foundation,SISG (5),$700.00
Student Financial Advisory Committee,SISG (3) ,$200.00
Student Parent Association For Recruitment and Retention,SISG (17),"$4,200.00"
Student to Student Peer Counseling,SISG (24),"$2,240.00"
Students Organized for Syria,SISG (1),$400.00
Suitcase Clinic,SISG (18),"$10,300.00"
Take Back the Night,SISG (14) ,$600.00
Teach in Prison,SISG (7),"$2,650.00"
Team HBV,SISG (10),$650.00
The Berkeley Project,SISG (10),"$1,000.00"
The Happy Cart Project at Berkeley,SISG (0),$0.00
The Magnolia Project,SISG (10),"$1,700.00"
The Sage Mentorship Project,SISG (4),$600.00
The Youth Support Program,SISG (21),$800.00
Theater For Charity,SISG (12),"$2,300.00"
TRENZA,SISG (18),"$1,400.00"
UC Berkeley Public Service Center - Cal Corps*,SISG (48),"$43,800.00"
Underground Scholars Initiative,SISG (2),$600.00
United Nations Refugee Agency at Cal,SISG (0),$0.00
Universities Allied for Essenital Medicines,SISG (3),$600.00
V-Day at UC Berkeley,SISG (6),$600.00
Vietnamese Student Association,SISG (25),"$5,600.00"
VISION,SISG (10),"$1,000.00"
Volunteer Health Interpreters Organization,SISG (11),"$1,700.00"
Volunteer Income Tax Assistance Program,SISG (3),$600.00
Volunteers Around the World Dental Outreach at Berkeley,SISG (0),$0.00
Volunteers for Medical Outreach,SISG (9),"$2,200.00"
Women and Youth Support Program,SISG (2),$250.00
Wonderworks,SISG (6),$600.00
World Literacy Project,SISG (5),$200.00
You Mean More,SISG (6),"$2,000.00"
Young Queers United for Empowerment,SISG (9),"$1,000.00"
Youth Empowerment Program,SISG (5),"$1,500.00"
ASUC Housing Commission,COMM,"$1,000.00"
Dance Marathon,PROG,"$8,800.00"
Democratic Education at Cal - DeCal,PROG,"$5,000.00"
Innovative Design,PROG,"$6,600.00"
Innovative Entertainment,PROG,"$1,000.00"
Open Computing Facility,PROG,"$27,000.00"
Publications & Media Board,PROG,"$6,550.00"
Sexual Assault Commission,PROG,"$3,000.00"
SUPERB,PROG,"$132,200.00"
Sustainability Team,PROG,"$2,400.00"
Cal Lodge Fund,SEN,"$20,000.00"
Academic Opportunity Grant,GRNT,"$20,000.00"
Accessibility Grant,GRNT,"$4,000.00"
Arts and Creativity Grant,GRNT,"$3,500.00"
DeCal Grant,GRNT,"$3,500.00"
Educational Equity and Excellence Grant,GRNT,"$6,000.00"
Intellectual Community Grant,GRNT,"$4,500.00"
Multicultural Grant,GRNT,"$4,000.00"
Public Service Grant,GRNT,"$4,500.00"
Outstanding Student Recognition Scholarship,SCLR,"$1,500.00"
RISE Scholarship,SCLR,"$5,000.00"
Textbook Scholarship,SCLR,"$6,000.00"
Greek Opportunity Fund,FUND,"$10,000.00"
Senate Contingency Fund,FUND,"$80,000.00"
Chief-of-Staff Stipend,OP,"$1,500.00"
President Discretionary Fund,OP,"$5,000.00"
President Stipend,OP,"$4,000.00"
Chief-of-Staff Stipend,EVP,"$1,500.00"
EVP Discretionary Fund,EVP,"$5,000.00"
EVP Stipend,EVP,"$4,000.00"
Chief-of-Staff Stipend,EAVP,"$1,500.00"
EAVP Discretionary Fund,EAVP,"$15,000.00"
EAVP Stipend,EAVP,"$4,000.00"
Legislative Conference,EAVP,"$15,000.00"
Lobby Corps,EAVP,"$20,000.00"
UC Student Association,EAVP,"$32,000.00"
AAVP Discretionary Fund,AAVP,"$4,500.00"
AAVP Stipend,AAVP,"$4,000.00"
Chief-of-Staff Stipend,AAVP,"$1,500.00"
Chief-of-Staff Stipend,SAO,"$1,500.00"
SAO Discretionary Fund,SAO,"$3,500.00"
SAO Stipend,SAO,"$4,000.00"
Senate Leadership Institute / Senate Meetings,SEN,"$7,500.00"
Senators' Discretionary Funds ($500.00 each),SEN,"$10,000.00"
Senators' Stipend ($500.00 each),SEN,"$10,000.00"
Attorney General Stipend,AOFR,"$1,500.00"
Chief Accountability Officer Stipend,AOFR,"$1,500.00"
Chief Communication Officer Stipend,AOFR,"$1,500.00"
Chief Financial Officer Stipend,AOFR,"$1,500.00"
Chief Technology Officer Stipend,AOFR,"$1,500.00"
