Name,Type,Years of Sponsorship,Funding Request,Finance Officer,Finance Committee,Final Allocation
Klesis,SAG,3,2920.00,600.00,600.00,600.00
Koinonia Christian Fellowship,SAG,10,5000.00,450.00,450.00,450.00
Korean American Student Association,SAG,33,6500.00,4500.00,4500.00,4500.00
Korean-American Scientists and Engineers Association,SAG,3,690.00,600.00,600.00,600.00
K-Popular at Berkeley,SAG,4,1500.00,800.00,800.00,800.00
Latino Pre-Law Society,SAG,12,1200.00,1200.00,1200.00,1200.00
Law In Practice,SAG,2,200.00,200.00,200.00,200.00
League of Legends at Berkeley,SAG,1,1500.00,200.00,200.00,200.00
Lindy on Sproul,SAG,4,680.00,680.00,680.00,680.00
LiNK at Cal - Liberty in North Korea,SAG,10,1200.00,500.00,750.00,750.00
Longboard Connection @ Berkeley,SAG,3,200.00,200.00,200.00,200.00
Main Stacks Dance Team,SAG,6,900.00,900.00,900.00,900.00
Malaria No More,SAG,2,150.00,150.00,150.00,150.00
Mariachi Luz de Oro,SAG,3,2000.00,600.00,600.00,600.00
Materials Science Engineering Association,SAG,1,300.00,200.00,0.00,0.00
Mechanical Engineering Transfer Student Union,SAG,1,500.00,300.00,200.00,200.00
Mind Body Nutrition: Students for Integrative and Preventative Medicine,SAG,2,1000.00,400.00,400.00,400.00
Molecular and Cell Biology Cell Developmental Neurobiological Association,SAG,1,250.00,200.00,200.00,200.00
Molecular Cell Biology Undergraduate Student Association,SAG,1,300.00,200.00,200.00,200.00
Movement,SAG,14,3100.00,3100.00,3100.00,3100.00
Multimedia Orchestra @Berkeley,SAG,2,1500.00,400.00,400.00,400.00
Music Connection,SAG,6,200.00,200.00,200.00,200.00
Muslim Student Association,SAG,28,7500.00,7500.00,7500.00,7500.00
National Society of Leadership and Success - Sigma Alpha Pi,SAG,1,50.00,50.00,50.00,50.00
Natya at Berkeley,SAG,1,1000.00,200.00,200.00,200.00
Nerdfighters of Berkeley,SAG,2,500.00,400.00,400.00,400.00
Net Impact at Berkeley,SAG,13,2000.00,800.00,800.00,800.00
Nigerian Students Association,SAG,2,13000.00,400.00,400.00,400.00
Nikkei Student Union,SAG,13,2312.00,1600.00,1600.00,1600.00
Olive Tree Initiative,SAG,4,2000.00,800.00,800.00,800.00
Omicron Delta Epsilon Economics Honors Society,SAG,8,300.00,300.00,300.00,300.00
Optimir Consulting,SAG,1,300.00,200.00,200.00,200.00
Oratory at Berkeley,SAG,3,200.00,200.00,200.00,200.00
Order of Omega,SAG,1,200.00,200.00,200.00,200.00
Organization of African Students at Berkeley,SAG,2,0.00,0.00,0.00,0.00
"Out in Science, Technology, Engineering, and Mathematics - oSTEM",SAG,4,0.00,0.00,0.00,0.00
OUTLAW at Berkeley,SAG,2,200.00,200.00,200.00,200.00
Pakistani Student Organization,SAG,11,1000.00,1000.00,1000.00,1000.00
Parliamentary Debate at Berkeley,SAG,5,1820.00,1800.00,1800.00,1800.00
Partnership for Pre-Professional Pilipinos,SAG,14,1000.00,700.00,1000.00,1000.00
PartySafe at Cal,SAG,2,750.00,400.00,400.00,400.00
"Peers Espousing Amiability, Cooperation, and Education",SAG,2,180.00,180.00,180.00,180.00
Personal Finance and Business Entrepreneur Club,SAG,1,1300.00,200.00,200.00,200.00
Personal Finance Club at Berkeley,SAG,2,250.00,250.00,250.00,250.00
Phi Alpha Delta,SAG,6,200.00,200.00,200.00,200.00
Phi Alpha Theta,SAG,10,700.00,700.00,700.00,700.00
Phi Chi Pre-Medical Fraternity,SAG,4,300.00,300.00,300.00,300.00
Phi Delta Epsilon CA Iota,SAG,7,2500.00,0.00,750.00,750.00
Phi Sigma Pi,SAG,13,780.00,780.00,780.00,780.00
Pi Sigma Epsilon,SAG,2,500.00,400.00,400.00,400.00
Pilipino American Alliance,SAG,24,5420.00,5420.00,5420.00,5420.00
Pilipino Association for Health Careers,SAG,22,2000.00,2000.00,2000.00,2000.00
"Pilipino Association of Scientists, Architects, and Engineers",SAG,26,0.00,0.00,0.00,0.00
Point of Care Diagnostics Idea Lab,SAG,1,48.00,48.00,48.00,48.00
Portraits of Kindness at Berkeley,SAG,2,400.00,400.00,400.00,400.00
Pre- Health Society,SAG,8,800.00,800.00,800.00,800.00
Pre-Dental Society,SAG,32,212.00,212.00,212.00,212.00
"Pre-Pharmacy Informational, Learning, and Leadership Society - PILLS",SAG,14,2200.00,2100.00,2100.00,2100.00
Psi Chi: International Psychology Honour Society,SAG,8,375.00,375.00,375.00,375.00
Quiz Bowl Club,SAG,19,1500.00,300.00,300.00,300.00
Rising Immigrant Scholars through Education - RISE,SAG,6,4500.00,500.00,3500.00,3500.00
Russian Club,SAG,11,400.00,400.00,400.00,400.00
SACNAS at Berkeley: Undergraduate Chapter,SAG,2,400.00,400.00,400.00,400.00
Salsa at Cal,SAG,4,565.00,565.00,565.00,565.00
Sigma Alpha Nu,SAG,7,0.00,0.00,0.00,0.00
Sikh Students Association,SAG,9,1100.00,500.00,1100.00,1100.00
Singapore Malaysia Student Association,SAG,7,500.00,500.00,500.00,500.00
Society of Asian Scientists and Engineers,SAG,3,200.00,200.00,200.00,0.00
Society of Physics Students at Berkeley,SAG,1,200.00,200.00,200.00,200.00
Society of Women Engineers,SAG,1,2000.00,200.00,200.00,0.00
Space Exploration Society at Berkeley,SAG,1,300.00,200.00,200.00,200.00
Speech at Berkeley (formerly Speech and Debate at Berkeley),SAG,5,500.00,500.00,500.00,500.00
Square Up,SAG,1,300.00,200.00,200.00,200.00
Sri Lankan Students Association,SAG,1,200.00,200.00,200.00,200.00
Steel Bridge Competition Team,SAG,1,500.00,200.00,200.00,0.00
Strait Talk,SAG,7,1000.00,1000.00,1000.00,1000.00
Strawberry Creek Collective,SAG,2,700.00,400.00,400.00,400.00
Student Dietetic Association,SAG,2,1250.00,400.00,400.00,400.00
Student Organic Gardening Association,SAG,1,1000.00,200.00,200.00,200.00
Student Society for Stem Cell Research,SAG,2,500.00,400.00,400.00,400.00
Students Against Fracking,SAG,1,1500.00,200.00,200.00,200.00
Students for Hip Hop,SAG,14,3600.00,3500.00,3500.00,3500.00
Students for Integrative Medicine,SAG,5,95.00,95.00,95.00,95.00
Students for Justice in Palestine,SAG,9,600.00,600.00,600.00,600.00
Surfing Club at Berkeley,SAG,3,450.00,450.00,450.00,450.00
Synesthesia Association at Berkeley,SAG,2,900.00,400.00,400.00,400.00
Taiwanese American Student Association,SAG,18,2500.00,2000.00,2000.00,2000.00
Taiwanese Student Association,SAG,18,1680.00,1680.00,1680.00,1680.00
TBD Comedy,SAG,3,400.00,400.00,400.00,400.00
Technology Entrepreneurs Club at Berkeley,SAG,1,500.00,200.00,200.00,200.00
Tennis at Cal,SAG,1,400.00,200.00,200.00,200.00
Theatre Rice: Modern Asian-American Theater,SAG,15,4510.00,3000.00,3000.00,3000.00
Theta Tau,SAG,4,1000.00,800.00,800.00,0.00
Thrive Dance Company,SAG,3,500.00,500.00,500.00,500.00
Toxicology Student Association of Berkeley,SAG,4,600.00,600.00,600.00,600.00
TZU CHI,SAG,7,450.00,450.00,450.00,450.00
UC Berkeley Jazz Ensembles,SAG,28,4000.00,0.00,2000.00,2000.00
Undergraduate Communication Association,SAG,1,550.00,200.00,200.00,200.00
Undergraduate Economics Association,SAG,14,350.00,350.00,350.00,350.00
Undergraduate Finance Association Undergraduate Management Consulting Gr,o SAG,7,1650.00,300.00,300.00,300.00
Undergraduate Marketing Association,SAG,18,800.00,800.00,800.00,800.00
undergraduate real estate club,SAG,1,1500.00,200.00,200.00,200.00
University of California at Berkeley Model United Nations,SAG,22,25000.00,7000.00,7000.00,7000.00
University of California Rally Committee,SAG,114,52815.00,35000.00,35000.00,35000.00
Upsilon Pi Epsilon,SAG,1,500.00,200.00,200.00,200.00
Voyager Consulting,SAG,3,500.00,500.00,500.00,500.00
West Coast Rock Club,SAG,1,5000.00,200.00,200.00,200.00
Wild Life Society at Berkeley,SAG,2,150.00,150.00,150.00,150.00
Women in Mathematics at Berkeley,SAG,1,200.00,200.00,200.00,200.00
ZM Chinese Network,SAG,1,500.00,200.00,200.00,200.00
100 Strong,SISG,1,1000.00,300.00,300.00,300.00
A Brighter Tomorrow,SISG,2,635.00,500.00,500.00,500.00
Active Minds at Berkeley,SISG,1,130.00,130.00,130.00,130.00
"Alpha Kappa Alpha Sorority, Incorporated, Rho Chapter",SISG,1,1000.00,300.00,300.00,300.00
"Alpha Phi Alpha Fraternity, Inc. Alpha Epsilon Chapter",SISG,12,2000.00,2000.00,2000.00,2000.00
Alternative Breaks,SISG,12,10000.00,1200.00,1200.00,1200.00
American Red Cross at Cal,SISG,10,5550.00,2450.00,5000.00,5000.00
Amnesty International,SISG,34,2110.00,800.00,800.00,800.00
Art of Living,SISG,5,2000.00,700.00,700.00,700.00
Asian American Pacific Islander Health Research Group,SISG,2,500.00,500.00,500.00,500.00
ASUC Renters' Legal Assistance,SISG,32,3500.00,3200.00,3200.00,3200.00
ASUC Student Legal Clinic,SISG,31,3725.00,3000.00,3000.00,3000.00
Autism Speaks U at Berkeley,SISG,4,1000.00,900.00,900.00,900.00
Bay-area Environmentally Aware Consulting Network,SISG,7,800.00,800.00,800.00,800.00
Bears for Elder Welfare,SISG,3,40.00,40.00,40.00,40.00
Berkeley City College Service Community (BCCSC),SISG,3,400.00,400.00,400.00,400.00
Berkeley Engineers and Mentors,SISG,6,0.00,0.00,0.00,0.00
Berkeley Medical Reserve Corps,SISG,1,3200.00,300.00,300.00,300.00
Berkeley Project,SISG,8,2000.00,1000.00,1000.00,1000.00
Best Buddies at Berkeley,SISG,8,400.00,400.00,400.00,400.00
Black Recruitment and Retention Center,SISG,32,43100.00,42000.00,43100.00,43100.00
Black Students in Health Association,SISG,1,600.00,200.00,200.00,200.00
Blood Pressure Project,SISG,1,500.00,300.00,300.00,300.00
Blueprint,SISG,3,500.00,500.00,500.00,500.00
Body Peace,SISG,2,361.00,361.00,361.00,361.00
bridges Multicultural Resource Center,SISG,18,18000.00,13000.00,22500.00,22500.00
Cal Berkeley Habitat For Humanity,SISG,14,2000.00,2000.00,2000.00,2000.00
Cal Camp,SISG,66,20400.00,15000.00,15000.00,15000.00
Cal Community Music,SISG,30,300.00,300.00,300.00,300.00
Cal Corps Public Service Center: Student-Initiated Community Projects *,SISG,46,72500.00,35000.00,35000.00,35000.00
Cal in Local Government,SISG,7,4583.00,1700.00,1700.00,1700.00
Cal Queer & Asian,SISG,5,1100.00,1100.00,1100.00,1100.00
Cal Veterans Group,SISG,6,8700.00,2000.00,2000.00,2000.00
California Public Interest Group - CALPIRG,SISG,9,370.00,370.00,370.00,370.00
Camp Kesem Berkeley,SISG,2,7500.00,500.00,500.00,500.00
Chican@/Latin@ Architecture Student Association,SISG,1,100.00,100.00,100.00,100.00
Chican@s/Latin@s in Health Education,SISG,25,2300.00,2300.00,2300.00,2300.00
Coaching Corps at Berkeley,SISG,1,200.00,200.00,200.00,200.00
Code the Change,SISG,2,800.00,500.00,500.00,500.00
Colleges Against Cancer,SISG,4,1000.00,900.00,900.00,900.00
Creative Residencies for Emerging Artists Teaching Empowerment - CREATE,SISG,2,500.00,500.00,500.00,500.00
CS KickStart,SISG,3,0.00,0.00,0.00,0.00
Delta Sigma Theta Sorority Inc. Kappa Chapter,SISG,13,4700.00,0.00,2750.00,2750.00
